Location,Description,"Service Period",Amount
"1116LEWISBURG TN",USA,"CHARTER COMMUNICATIONS","GUID E"
"26471LORETTO TN",USA,"CHARTER COMMUNICATIONS",GUIDE
"1451MANCHESTER TN",USA,"CHARTER COMMUNICATIONS","GUI DE"
"3367MCKENZIE TN",USA,"CHARTER COMMUNICATIONS",GUIDE
"18961MONTEAGLE/TRACY TN",USA,"CHARTER COMMUNICATIONS",GUIDE
"23006MOUNTAIN CITY TN",USA,"CHARTER COMMUNICATIONS",GUIDE
"1418DENTON TX",USA,"CHARTER COMMUNICATIONS",GUIDE
"6027DUNCANVILLE TX",USA,"CHARTER COMMUNICATIONS","GU IDE"
"102017ROCKWALL TX",USA,"CHARTER COMMUNICATIONS",GUIDE
"10634SPRING TX",USA,"CHARTER COMMUNICATIONS",GUIDE
"1860WAXAHACHIE TX",USA,"CHARTER COMMUNICATIONS","GUI DE"
"7706ACCOMAC VA",USA,"CHARTER COMMUNICATIONS",GUIDE
"15727SUFFOLK VA",USA,"CHARTER COMMUNICATIONS",GUIDE
"10149COLVILLE WA",USA,"CHARTER COMMUNICATIONS",GUIDE
"10848ELLENSBURG WA",USA,"CHARTER COMMUNICATIONS","GUI DE"
"10848ELLENSBURG WA",USA,"CHARTER COMMUNICATIONS","GUI DE"
"10572KENNEWICK WA",USA,"CHARTER COMMUNICATIONS","GUID E"
"8034OMAK/OKANOGAN WA",USA,"CHARTER CABLE INC",GUIDE
"1283PROSSER WA",USA,"CHARTER COMMUNICATIONS",GUIDE
"100550WALLA WALLA WA",USA,"CHARTER COMMUNICATIONS","GU IDE"
"1867WENATCHEE WA",USA,"CHARTER COMMUNICATIONS","GUID E"
"10704YAKIMA WA",USA,"CHARTER COMMUNICATIONS",GUIDE
"2476ANTIGO WI",USA,"CHARTER COMMUNICATIONS",GUIDE
"2597BARABOO WI",USA,"CHARTER COMMUNICATIONS",H1208
"2358CLINTONVILLE WI",USA,"CHARTER COMMUNICATIONS","G UIDE"
"6837DRESSER WI",USA,"CHARTER COMMUNICATIONS",GUIDE
"1328EAU CLAIRE WI",USA,"CHARTER COMMUNICATIONS",031
"1396FOND DU LAC WI",USA,"CHARTER COMMUNICATIONS","GU IDE"
"11487JANESVILLE WI",USA,"CHARTER COMMUNICATIONS","GUI DE"
"12174MADISON WI",USA,"CHARTER COMMUNICATIONS",GUIDE
"6838MAZOMANIE WI",USA,"CHARTER COMMUNICATIONS","GUID E"
"10279MENOMONIE WI",USA,"CHARTER COMMUNICATIONS","GUID E"
"1019ONALASKA WI",USA,"CHARTER COMMUNICATIONS",GUIDE
"1312PARK FALLS/HAYWA WI",USA,"CHARTER COMMUNICATIONS",GUIDE
"1142RHINELANDER WI",USA,"CHARTER COMMUNICATIONS","GU IDE"
"7494RICE LAKE WI",USA,"CHARTER COMMUNICATIONS","GUID E"
"3798SHEBOYGAN WI",USA,"CHARTER COMMUNICATIONS","GUID E"
"2903TWO RIVERS/BROWN WI",USA,"CHARTER COMMUNICATIONS",GUIDE
"2542WAUTOMA WI",USA,"CHARTER COMMUNICATIONS",GUIDE
"30978WEST BEND WI",USA,"CHARTER COMMUNICATIONS","GUID E"
"1835WISCONSIN RAPIDS WI",USA,"CHARTER COMMUNICATIONS",GUIDE
"11414BUFFALO WY",USA,CHARTER,H0744
"2478CASPER WY",USA,CHARTER,H1335
"31693CHEYENNE WY",USA,CHARTER,H0215
"11111CODY WY",USA,CHARTER,H1737
"11406GILLETTE WY",USA,CHARTER,H0745
"11416GREYBULL WY",USA,CHARTER,H0743
"1329JACKSON WY",USA,CHARTER,H0870
"2170LARAMIE WY",USA,CHARTER,H0530
"1002NEWCASTLE WY",USA,CHARTER,H0213
"11247POWELL WY",USA,CHARTER,H1761
"3198RAWLINS WY",USA,CHARTER,H0157
"11227RIVERTON WY",USA,CHARTER,H0532
"11673SHERIDAN WY",USA,CHARTER,H2464
"11228THERMOPOLIS WY",USA,CHARTER,H0533
"11178WORLAND WY",USA,CHARTER,H0520
